sex,occupation,age,edu_level,Marital_status,economic_status
1,1,13,4,2,111
0,0,12,4,2,111
0,1,4,1,1,112
1,1,9,2,2,111
1,1,11,1,2,111
0,1,5,2,1,112
0,0,9,5,2,111
1,1,8,3,2,111
0,0,6,3,1,120
1,1,7,2,2,111
0,1,5,3,1,111
0,1,9,2,2,111
0,0,8,5,1,111
0,0,10,3,2,120
0,1,5,3,1,111
1,1,11,3,4,111
0,0,6,5,2,111
1,1,10,2,2,111
0,1,8,2,2,111
1,0,9,5,2,111
0,0,6,3,1,111
1,1,12,1,2,111
0,1,5,2,1,111
0,0,11,2,2,111
0,0,9,3,2,111
1,1,10,2,2,111
0,1,4,3,1,112
1,1,5,4,1,111
1,0,9,5,4,111
1,1,9,3,2,111
0,0,8,5,2,111
1,1,10,2,2,111
1,0,11,5,2,111
0,1,8,3,2,111
0,1,11,4,2,111
0,1,10,3,2,111
0,0,9,5,2,111
1,1,7,2,2,111
1,0,7,5,1,111
1,1,4,2,1,112
1,1,6,3,1,112
1,0,6,5,2,111
1,1,11,3,4,111
1,1,5,2,1,111
0,1,7,5,1,111
1,0,5,3,1,111
0,0,10,5,2,111
1,1,7,3,1,111
0,0,10,3,2,120
1,1,10,3,2,111
1,1,4,2,1,112
0,0,6,5,1,111
0,1,13,2,2,111
0,0,8,5,2,111
0,1,7,1,2,111
0,1,10,3,2,111
1,1,7,3,1,111
0,1,11,1,2,111
1,0,12,5,2,111
1,1,4,3,1,112
0,0,10,5,4,111
1,1,7,2,1,111
0,0,7,5,2,111
0,1,4,2,1,111
1,1,7,3,1,111
0,1,8,5,2,111
0,1,6,3,2,112
1,1,7,3,2,111
1,1,4,2,1,112
0,1,8,3,2,111
1,0,11,5,2,111
1,1,7,5,2,111
1,0,8,5,2,111
0,1,4,2,1,112
0,1,4,2,1,112
1,1,9,0,4,111
0,0,10,5,2,111
0,1,8,3,2,111
0,1,15,3,2,111
1,0,12,5,3,111
1,1,4,2,1,112
0,0,10,5,2,111
0,1,6,2,1,111
1,1,8,3,2,111
1,1,7,2,2,111
1,1,5,5,2,111
1,1,10,3,4,111
0,1,7,3,4,111
1,0,11,3,2,111
0,0,7,5,2,111
0,0,6,3,2,111
1,1,7,3,2,111
1,1,4,3,1,112
1,1,8,2,4,111
0,0,9,5,2,111
0,0,8,3,1,111
0,0,14,3,2,111
0,0,8,5,1,111
0,0,8,1,2,111
0,0,7,4,1,111
0,0,9,5,2,111
1,0,6,5,1,111
0,1,11,3,2,111
1,1,9,1,2,111
0,0,10,2,2,111
1,0,8,5,2,111
1,1,9,2,2,111
0,1,9,3,2,111
1,1,7,2,2,111
0,1,9,3,2,111
0,0,6,5,1,111
0,0,8,2,4,111
0,0,9,3,2,111
0,0,8,5,2,111
1,1,4,2,1,112
1,1,7,4,2,111
1,1,5,2,2,111
1,0,7,5,2,111
0,0,11,5,2,111
1,1,11,2,2,111
1,1,6,3,1,111
1,1,8,2,1,111
1,1,11,2,2,111
1,0,8,5,2,111
0,0,10,5,2,111
0,0,6,1,2,111
1,0,8,5,1,120
0,0,9,3,2,111
0,0,6,5,1,111
0,0,7,5,1,111
1,0,5,5,1,111
0,0,11,5,1,111
0,0,10,5,2,111
1,0,8,4,2,120
1,0,10,2,2,120
1,1,9,3,4,111
0,1,8,2,2,111
0,0,10,4,2,111
0,0,5,5,1,111
0,0,8,2,2,111
1,1,10,2,2,111
1,0,5,5,1,111
1,0,10,3,1,111
1,1,9,2,2,111
1,1,5,3,1,112
1,1,7,3,2,111
1,0,11,5,2,111
1,1,5,3,1,111
0,0,14,4,2,120
0,0,12,3,2,111
1,1,6,5,1,111
1,1,11,2,2,111
0,1,4,0,1,112
1,0,12,5,2,111
0,0,11,3,2,111
0,0,9,2,2,111
0,0,11,3,2,111
1,0,7,3,2,111
1,0,6,5,2,111
0,0,5,1,1,111
1,1,5,5,1,112
1,1,10,3,2,111
0,1,10,4,2,111
0,1,6,3,1,111
0,1,10,3,2,111
0,1,9,2,2,111
1,1,8,3,2,111
1,1,4,2,1,112
1,1,6,3,2,111
0,1,5,3,1,111
0,0,9,4,2,111
1,1,6,3,1,111
1,1,9,2,2,111
0,0,12,5,2,111
0,0,12,4,2,111
0,1,6,2,2,111
0,1,10,2,2,111
1,0,7,3,2,111
0,0,7,5,1,111
0,0,8,2,1,120
0,0,12,4,3,111
0,1,8,3,2,111
0,0,8,5,1,111
0,0,10,2,2,111
0,1,7,3,1,111
0,0,11,5,2,111
1,0,7,5,2,111
0,1,9,3,2,111
0,1,4,2,1,112
1,1,6,2,2,111
0,0,9,5,2,111
1,1,8,5,1,111
1,1,11,1,2,111
1,1,5,4,1,112
1,1,8,2,2,111
0,0,10,4,2,111
1,1,6,2,2,111
0,0,11,5,2,111
1,1,7,4,2,111
0,1,12,2,2,111
1,1,7,3,2,111
1,1,9,2,2,111
0,1,4,2,1,112
0,1,8,5,2,111
1,0,7,5,2,111
0,1,8,3,1,111
0,0,11,3,2,111
1,0,8,5,2,111
0,0,10,5,4,111
0,0,12,3,4,120
1,1,7,3,2,111
0,1,9,3,2,111
0,0,12,2,2,111
0,1,5,5,1,111
0,0,8,5,2,111
0,1,9,3,2,111
0,0,10,5,2,111
1,0,8,4,4,111
1,1,12,2,4,111
0,0,10,5,2,111
0,1,4,2,1,112
0,0,11,2,2,111
0,1,5,3,1,111
1,0,7,3,2,111
0,1,11,5,1,111
0,1,4,2,1,112
0,1,11,2,2,111
0,1,6,3,1,111
0,1,12,3,2,111
0,1,5,3,1,112
1,0,10,5,2,111
1,1,10,5,2,111
0,0,11,5,3,111
0,0,8,4,2,120
1,1,9,3,2,111
1,1,11,2,4,111
1,0,10,3,2,111
0,1,4,3,1,111
1,1,8,2,4,111
1,0,9,5,2,111
1,0,10,3,4,120
0,0,8,3,2,120
0,0,6,5,1,111
0,0,12,3,1,120
1,1,5,1,2,111
0,0,10,3,2,111
0,0,8,3,2,111
1,1,7,2,1,111
0,0,8,5,4,111
1,0,10,5,2,111
0,0,8,3,2,120
1,1,8,1,2,111
1,0,6,3,2,111
1,1,8,2,1,111
0,0,11,5,2,111
1,1,10,3,2,111
1,0,8,5,2,111
0,0,10,3,2,111
0,0,6,5,1,111
0,1,4,2,1,112
1,1,10,2,2,111
1,1,12,2,2,120
0,0,7,5,1,111
0,1,7,3,2,111
1,1,10,3,2,111
0,0,9,5,2,111
0,1,7,3,2,111
0,1,5,3,1,111
1,1,12,1,2,111
1,0,10,5,2,120
0,0,10,5,2,111
0,0,12,3,2,120
1,1,5,3,2,111
1,1,10,3,4,111
1,0,10,5,1,111
1,1,13,3,2,111
0,1,7,4,1,111
1,1,9,5,2,111
0,0,11,3,2,111
0,0,11,5,2,120
0,1,10,1,2,111
0,1,8,3,1,111
0,1,8,5,2,111
0,0,14,2,2,120
1,1,8,1,2,111
1,0,9,5,2,111
0,1,8,4,2,111
0,1,10,3,2,111
0,0,6,5,1,111
1,1,6,3,1,111
0,1,5,2,1,112
0,0,7,3,2,111
0,0,7,5,1,111
1,1,6,3,2,111
1,1,13,3,2,111
0,0,10,5,2,111
0,1,4,2,1,112
1,1,5,3,1,120
1,0,12,3,2,111
0,0,7,5,1,111
0,0,10,5,2,111
0,1,10,3,2,111
0,0,7,5,1,111
0,0,11,5,2,111
1,0,11,5,1,111
1,1,8,2,2,111
0,0,9,4,2,111
1,1,8,3,1,111
1,0,7,4,4,111
0,1,10,5,2,111
0,0,11,3,2,120
1,1,6,3,2,111
0,0,9,2,2,111
1,1,10,1,2,111
0,0,8,5,2,111
0,1,7,1,1,111
0,0,8,5,1,111
1,1,4,3,1,111
1,1,12,3,2,111
1,1,10,3,2,111
1,1,9,2,1,111
0,0,14,2,2,111
1,0,9,5,1,111
0,0,6,5,2,111
1,0,6,5,1,111
1,0,11,5,4,111
0,0,5,5,1,111
0,0,12,5,4,111
0,0,9,2,2,111
0,0,12,4,2,111
1,0,6,5,1,111
0,1,11,2,2,111
1,1,9,3,2,111
0,1,6,3,1,111
1,1,10,3,1,111
0,0,7,5,1,111
1,1,7,2,2,111
1,0,10,5,2,111
1,1,9,3,2,111
0,0,11,5,2,111
0,1,5,2,1,112
1,1,4,2,1,112
1,1,7,3,2,111
0,0,9,5,2,111
0,1,10,2,2,111
1,1,8,2,4,111
1,0,10,3,2,111
1,0,9,5,1,111
1,0,8,5,2,111
1,0,9,4,3,111
1,1,8,3,4,111
0,1,7,3,2,111
1,0,6,5,1,111
1,1,6,3,2,111
0,1,9,5,2,111
0,0,10,1,2,111
0,1,8,2,2,111
1,1,9,1,4,111
0,0,7,3,1,111
1,0,8,5,1,111
1,1,9,3,2,111
0,0,10,5,2,111
0,1,8,1,2,111
0,0,6,5,1,111
0,1,7,1,2,111
0,0,7,3,1,111
1,1,6,2,1,111
0,0,8,5,2,111
1,1,6,3,2,111
0,1,6,5,1,111
0,0,7,3,1,111
0,0,10,5,2,111
0,1,10,3,2,111
0,1,4,2,1,112
0,0,10,5,3,111
0,1,5,3,1,111
0,0,12,3,2,111
1,1,12,1,1,111
0,1,5,3,1,112
1,0,11,5,2,111
1,0,8,5,2,111
0,1,7,3,1,111
0,1,5,3,1,111
0,1,11,3,2,111
0,0,11,5,2,111
0,0,6,3,1,111
0,0,8,5,2,120
1,1,4,2,1,111
0,1,4,3,1,112
1,1,7,2,2,111
0,0,11,5,2,120
0,0,8,5,2,111
1,0,7,5,4,111
1,0,9,5,2,111
0,1,12,3,2,111
1,1,9,3,2,111
0,0,9,5,2,111
0,1,8,2,2,111
0,1,9,3,2,111
0,0,7,3,2,111
1,0,5,5,1,111
0,1,12,1,2,111
1,1,8,3,1,111
1,1,5,3,2,111
0,1,4,2,1,112
0,1,11,2,1,111
1,1,6,1,1,111
1,1,11,2,2,111
0,1,7,2,2,111
0,0,10,3,2,111
0,0,11,5,2,111
0,0,11,4,2,111
1,1,9,3,2,111
1,0,13,5,2,111
0,0,9,2,4,120
0,1,7,4,2,111
0,1,10,1,2,111
1,1,8,2,4,111
0,0,10,3,2,111
0,0,8,2,2,111
0,1,10,1,2,111
1,1,12,2,2,111
0,1,4,3,1,112
1,1,9,2,2,111
0,1,5,3,1,111
1,1,7,4,2,111
1,1,7,2,2,111
0,0,12,5,2,111
1,0,10,3,2,111
0,1,9,3,2,111
1,1,9,1,2,111
0,0,10,3,2,111
0,1,11,2,2,111
1,1,9,5,2,111
1,1,11,3,4,111
1,0,5,5,1,111
0,0,8,5,2,111
1,0,8,2,2,120
1,1,9,3,2,111
0,0,8,4,2,120
0,1,10,3,2,111
0,0,12,5,2,111
0,1,11,2,2,111
0,1,7,5,2,111
1,1,8,2,1,111
1,0,9,5,2,111
0,0,9,5,2,111
0,0,10,5,2,111
1,1,10,2,2,111
1,0,12,5,2,111
0,0,9,3,2,120
0,0,10,3,2,111
1,0,8,5,2,120
0,1,4,1,1,112
0,0,9,5,2,120
1,0,6,3,1,111
1,1,9,1,1,111
1,0,12,5,2,111
1,1,10,3,2,111
1,0,5,3,1,111
0,0,13,5,2,111
0,1,8,3,1,111
0,0,8,5,1,111
1,1,7,2,2,111
0,0,11,3,2,111
1,1,10,3,2,111
0,0,11,5,1,111
0,0,15,3,3,111
1,1,5,3,1,112
0,0,9,3,2,111
0,1,6,3,1,111
1,0,6,5,1,111
0,0,10,3,2,111
1,1,9,5,2,111
0,0,8,1,2,111
1,0,7,3,2,111
0,1,7,3,1,111
0,1,9,3,2,111
0,0,12,5,2,111
0,0,6,5,2,112
0,0,9,5,2,111
1,0,7,5,2,120
0,1,7,5,2,111
0,0,11,3,2,111
0,0,8,5,2,120
1,0,7,5,1,111
0,0,8,3,2,120
1,1,4,2,1,112
1,1,10,3,4,111
1,1,11,3,2,111
1,1,10,2,3,111
0,0,8,5,2,111
0,0,6,3,2,120
0,0,7,5,1,111
0,0,12,5,2,111
0,0,10,5,2,111
0,0,9,3,1,120
0,0,10,5,2,111
0,0,11,5,2,111
0,0,12,3,2,120
0,1,12,3,2,111
1,1,5,3,1,111
1,0,4,3,1,111
1,1,12,1,4,111
1,1,4,2,1,112
0,0,7,5,1,111
1,0,8,3,2,111
0,0,9,1,2,120
0,0,6,5,1,111
0,0,10,2,2,111
0,1,12,5,2,120
0,1,9,2,2,111
0,1,5,3,1,111
1,1,8,2,4,111
1,0,11,5,1,111
1,1,12,1,2,111
0,0,11,5,1,111
1,1,7,3,1,111
1,1,7,3,1,111
0,1,6,2,1,111
0,0,8,5,1,120
0,1,9,2,4,111
0,0,11,2,2,111
0,1,6,3,1,111
1,1,7,3,2,111
0,1,4,2,1,111
1,1,8,2,2,111
1,1,11,3,2,111
0,1,12,3,2,111
0,0,9,3,2,111
1,1,9,2,1,111
1,1,11,1,4,111
0,0,6,5,1,111
1,0,9,5,2,111
0,0,8,1,2,111
1,0,9,5,2,111
0,1,8,3,2,111
0,0,7,5,1,111
0,0,11,5,2,111
1,0,9,3,2,111
0,0,8,3,2,111
0,0,10,5,2,111
1,0,9,5,1,111
0,0,9,5,2,120
0,0,9,5,2,111
1,0,11,5,4,111
0,1,11,2,2,111
0,0,9,5,2,111
0,0,6,5,1,111
1,1,7,5,2,111
1,1,9,2,2,111
0,0,12,5,2,111
0,0,7,5,1,111
1,1,8,2,2,111
0,0,9,5,1,111
0,0,9,5,2,111
0,0,12,5,2,120
1,1,8,1,4,111
0,0,12,5,2,111
1,1,8,1,4,111
0,0,7,5,1,112
0,0,6,4,1,111
0,0,9,3,3,111
1,1,9,2,2,111
0,1,10,1,2,111
1,1,11,2,1,111
1,1,5,2,1,112
0,1,8,2,4,111
0,0,12,5,2,111
0,1,7,2,1,111
0,0,11,1,2,120
1,1,5,2,1,112
0,0,10,5,2,120
1,0,10,2,2,111
0,0,8,5,2,111
1,1,5,2,1,111
0,1,5,1,1,111
1,0,7,5,1,111
1,0,10,5,2,111
0,0,10,2,2,111
1,0,6,5,1,111
0,0,11,2,2,111
1,0,11,5,2,111
0,1,8,3,2,111
1,1,9,2,2,111
1,0,9,5,2,111
1,0,9,3,2,111
1,1,8,3,2,111
0,1,4,3,1,112
1,1,10,1,2,111
1,1,8,2,2,111
0,0,8,3,2,111
0,0,10,5,2,111
0,1,6,2,1,111
0,0,9,5,2,111
0,0,11,3,2,111
0,0,11,5,2,111
1,1,7,3,1,111
1,1,9,2,2,111
0,1,8,2,2,111
0,0,7,5,2,111
1,1,5,3,1,111
1,1,10,3,1,111
1,0,6,4,1,111
1,1,9,2,2,111
1,1,7,3,2,111
1,1,11,3,1,111
0,0,7,5,2,111
1,1,4,2,1,112
1,1,4,3,1,112
1,1,4,1,1,112
1,1,9,3,2,111
0,0,9,3,2,111
0,0,10,5,2,111
1,1,6,3,2,111
0,0,8,5,1,111
0,0,10,2,2,120
0,0,6,5,2,111
0,0,8,3,2,120
1,1,4,2,1,111
1,1,8,3,1,111
0,0,11,4,3,111
1,1,8,3,2,111
1,0,8,3,2,111
0,0,9,3,2,111
1,1,10,2,2,111
1,1,11,3,2,111
1,1,5,3,1,111
1,0,9,5,1,111
0,0,12,5,2,111
0,0,7,3,2,120
0,0,10,5,2,111
0,0,6,5,1,111
0,0,11,5,2,111
0,0,12,5,2,111
1,1,7,3,2,111
0,0,11,3,2,111
1,1,9,3,4,111
1,1,11,2,2,111
1,1,10,3,2,111
0,1,12,2,2,111
0,0,8,3,2,111
1,1,9,5,2,111
1,1,11,4,4,111
1,1,5,3,1,111
1,0,5,3,1,112
1,1,10,3,2,111
0,0,13,1,2,120
0,1,9,2,1,111
1,1,5,3,1,111
1,1,8,3,2,111
0,0,10,3,2,111
1,0,5,2,2,111
1,0,11,5,2,111
0,0,12,5,2,111
0,0,9,3,2,111
1,0,10,3,2,111
1,1,11,2,4,111
0,0,10,5,2,111
0,1,9,3,1,111
0,1,12,2,2,111
1,1,4,2,1,112
0,0,10,3,2,111
1,1,9,3,4,111
0,0,9,3,2,111
0,0,8,5,2,111
0,1,11,2,2,111
1,0,10,5,1,111
0,0,9,5,2,111
1,1,10,2,4,111
1,1,5,3,1,111
1,1,8,5,2,111
0,0,8,5,2,111
1,0,7,3,2,120
0,0,10,3,4,120
1,0,10,5,2,111
0,0,8,5,2,111
1,0,7,5,2,111
1,1,9,3,2,111
1,1,7,3,2,111
1,1,9,3,2,111
1,1,8,3,2,111
1,1,8,3,4,111
0,0,7,3,2,111
0,1,4,2,1,112
1,1,11,3,2,111
0,0,11,5,2,111
0,0,11,5,4,111
1,1,6,2,2,111
1,1,5,3,1,112
1,1,7,3,1,111
0,1,8,3,2,111
0,1,6,5,1,111
1,1,6,4,2,111
1,1,8,3,4,111
1,1,6,3,1,111
0,0,9,1,2,111
0,0,11,3,1,111
1,0,9,5,2,111
0,1,8,2,2,111
1,0,6,5,1,111
1,0,6,5,1,111
1,1,6,5,1,111
1,1,9,2,2,111
0,1,12,2,2,111
1,0,8,5,2,111
1,1,4,1,1,112
0,0,6,5,1,111
0,0,11,5,2,111
1,1,6,5,1,111
0,0,5,3,1,111
0,1,8,2,2,111
1,1,5,3,1,111
0,1,5,3,1,111
0,0,9,5,2,111
0,0,10,5,2,111
1,0,10,3,2,111
0,1,8,5,2,111
1,1,11,2,2,111
0,0,10,3,2,111
1,1,4,0,1,112
1,1,9,2,4,111
1,1,4,3,1,111
0,1,12,3,2,120
1,1,5,3,1,111
1,0,11,5,4,111
0,0,5,2,1,111
1,1,11,2,2,111
1,1,7,5,2,111
1,0,8,5,1,111
0,1,7,3,1,111
1,1,13,3,2,120
0,1,8,3,1,111
0,0,8,5,2,111
1,1,11,3,4,111
0,0,9,3,2,111
0,1,4,2,1,111
1,1,7,3,1,111
1,1,7,4,2,111
0,0,11,3,1,120
1,1,11,3,2,120
1,1,7,2,1,111
1,0,9,5,1,111
0,1,12,3,2,111
0,0,10,5,1,111
1,1,11,2,2,111
0,1,6,4,1,112
0,1,10,4,2,111
1,0,9,5,2,111
0,1,7,1,2,111
0,1,4,2,1,112
0,1,11,1,2,111
0,1,4,2,1,112
1,1,11,3,2,111
0,1,10,2,2,111
1,1,8,0,2,111
1,0,8,5,2,111
1,0,8,5,2,111
0,0,8,5,2,120
1,1,7,5,1,111
0,0,13,3,2,120
1,0,7,5,2,111
0,1,7,2,1,111
1,1,4,1,1,112
1,1,4,2,1,112
1,0,10,5,2,111
1,1,9,2,2,111
0,0,12,5,2,111
1,1,9,3,2,111
1,1,7,1,4,111
1,1,7,3,2,111
1,0,9,3,1,111
1,1,6,3,1,112
0,0,12,3,2,111
1,0,9,4,2,111
1,0,9,5,2,111
1,1,8,2,1,111
1,1,10,2,2,111
1,1,4,3,1,112
0,1,6,2,1,111
1,1,6,2,2,111
0,0,8,2,2,111
1,1,11,3,2,111
0,1,5,5,1,111
1,0,11,3,2,111
1,1,5,3,1,111
1,0,10,3,2,120
0,0,9,3,2,111
1,1,7,2,2,111
0,1,12,2,1,111
1,1,7,5,2,111
0,0,10,5,2,111
1,1,4,3,1,112
1,0,9,5,1,111
0,0,5,3,2,111
1,1,5,3,1,111
1,1,9,3,2,111
1,1,6,3,2,111
0,0,11,5,2,111
0,1,11,3,1,111
0,0,10,5,2,111
0,0,7,3,1,111
0,1,6,5,1,111
0,0,7,5,2,111
0,1,4,3,1,112
1,1,6,2,2,111
1,1,5,3,1,112
1,1,8,3,2,111
0,0,7,5,2,111
1,1,7,2,2,111
0,1,6,3,1,111
1,0,5,5,1,111
1,0,7,5,1,111
1,1,9,2,2,111
0,0,12,5,4,111
1,1,6,3,2,111
0,0,12,5,2,111
1,0,9,1,2,120
1,0,8,5,4,111
0,1,10,5,2,111
1,1,4,3,1,112
0,0,10,3,1,111
0,1,7,3,2,111
0,0,5,3,1,111
0,0,9,5,2,111
1,1,10,5,1,111
0,0,13,5,4,111
1,1,11,2,2,111
1,1,5,3,1,112
1,0,10,5,2,111
0,0,11,3,2,111
0,1,7,2,2,111
0,1,11,3,2,111
0,0,11,5,2,111
0,1,4,2,1,112
0,0,11,5,2,111
0,0,9,5,2,111
0,0,11,1,4,120
0,1,4,3,1,111
1,1,11,1,2,111
0,1,5,1,1,111
1,0,14,1,4,120
1,1,9,4,2,111
0,0,13,2,4,111
0,1,8,4,2,111
0,0,12,5,2,111
1,0,11,3,2,111
1,0,9,5,2,111
0,1,10,0,4,111
0,0,10,2,2,111
1,1,10,1,2,111
1,0,7,3,2,111
0,0,11,3,2,111
0,1,6,5,1,111
1,0,5,2,1,111
1,0,6,5,1,111
1,1,10,3,2,111
1,0,12,2,2,120
0,0,12,2,2,111
0,1,4,2,1,112
1,1,8,3,2,111
0,0,7,2,2,111
1,1,5,3,1,111
1,1,8,2,2,111
0,1,4,2,1,112
0,0,10,5,2,111
1,1,6,3,2,111
0,1,9,3,2,111
1,0,11,5,1,111
0,0,6,3,2,111
0,1,4,2,1,112
1,0,8,3,2,111
0,0,7,3,2,111
1,0,8,5,2,111
1,1,9,2,2,111
0,0,10,3,2,111
0,0,10,5,2,111
1,1,7,3,4,111
0,1,12,1,2,111
1,1,12,5,2,111
1,1,15,0,2,111
1,0,10,4,2,120
0,0,7,5,1,111
1,0,9,5,2,111
0,0,8,3,2,111
1,1,7,3,2,111
0,0,7,5,2,111
1,1,8,1,2,111
0,0,8,3,2,120
0,0,11,2,2,120
0,0,8,3,2,111
0,1,4,2,1,111
0,0,11,3,2,111
1,1,9,4,2,111
0,0,5,3,1,111
1,1,6,2,2,111
0,0,10,5,2,111
0,0,13,3,2,120
1,1,4,2,1,111
0,0,9,5,1,111
0,0,9,3,2,111
1,1,7,2,1,111
1,1,9,2,2,111
0,0,11,5,2,111
1,1,4,2,1,112
0,0,11,3,2,111
0,0,10,5,2,111
1,1,4,2,1,112
1,1,9,1,2,111
0,0,9,5,2,111
0,1,5,3,1,112
0,1,6,2,1,111
1,1,10,2,2,111
0,1,4,3,1,112
0,1,4,2,1,112
0,0,8,3,1,120
0,1,8,4,2,111
1,1,10,2,2,111
1,1,8,3,2,111
1,1,6,3,1,111
1,1,12,1,2,120
0,0,9,3,2,111
0,0,10,5,2,111
1,1,11,5,2,111
1,0,9,5,2,111
0,0,12,5,1,111
0,0,6,5,1,111
0,0,9,5,2,111
0,0,9,5,2,111
1,1,10,4,2,111
1,1,6,3,1,111
0,1,11,2,2,111
1,1,10,1,2,111
1,1,11,2,2,111
1,1,6,4,1,112
1,1,11,3,4,111
0,1,7,5,2,111
1,1,7,3,1,111
1,1,6,3,2,111
1,0,7,5,2,111
0,1,10,4,2,111
0,0,6,5,1,111
0,1,11,4,2,111
1,1,5,2,1,111
0,1,10,2,2,111
1,1,4,2,1,112
1,1,9,2,2,111
1,0,10,1,4,120
0,1,9,1,2,111
0,1,11,1,4,111
1,0,11,5,2,111
0,0,9,5,2,111
0,0,10,3,2,120
1,1,8,2,2,111
0,0,11,5,1,111
1,0,10,5,2,111
0,1,7,2,2,111
1,1,7,2,2,111
0,1,7,2,2,111
1,1,8,3,2,111
1,0,8,5,2,111
0,1,4,2,1,112
0,0,10,5,2,111
0,0,9,3,2,111
0,0,9,5,1,111
0,0,11,1,2,120
1,0,9,5,2,111
1,1,9,4,2,111
0,0,11,5,2,111
0,1,8,2,2,111
0,0,12,5,2,111
1,1,7,2,2,111
0,1,6,3,1,111
0,0,9,5,2,111
0,0,8,3,2,120
0,0,10,5,3,111
0,0,7,3,1,111
1,1,9,4,4,111
1,1,6,2,1,111
1,1,11,3,2,111
0,1,6,3,2,111
1,0,8,4,2,111
1,1,7,3,1,111
0,0,10,3,2,111
1,1,5,2,2,111
1,0,8,5,1,120
1,1,6,3,2,111
0,0,14,3,2,120
1,1,5,3,1,111
1,1,7,3,2,111
1,0,7,1,2,111
1,1,13,3,2,111
0,1,9,3,1,111
0,1,5,3,1,111
0,1,4,1,1,112
0,0,11,3,2,120
1,1,7,5,1,111
1,1,8,3,2,111
0,0,7,5,2,111
1,0,7,5,2,111
1,1,6,5,1,111
0,1,5,4,1,112
1,1,10,2,2,111
0,0,10,5,2,111
1,0,9,3,2,111
1,0,8,3,2,111
0,1,5,1,1,111
1,1,5,3,1,111
0,1,9,2,2,111
0,0,11,3,2,111
0,0,8,5,2,111
0,1,10,3,2,111
0,0,13,2,2,120
0,0,9,3,2,120
1,0,6,5,2,111
0,1,6,5,1,111
0,1,7,3,1,111
1,1,10,3,4,111
0,1,8,2,2,111
0,0,8,4,2,111
1,0,8,3,2,111
0,1,8,3,1,111
0,0,7,3,1,120
1,1,10,1,1,111
1,1,7,3,1,111
0,1,6,3,1,111
0,0,12,3,2,111
1,1,5,3,1,111
1,1,8,3,1,111
1,1,4,1,1,112
1,0,10,5,2,111
1,1,4,2,1,112
0,1,12,5,2,111
0,0,9,5,2,111
0,0,10,3,2,120
0,1,6,3,1,111
0,0,10,2,1,111
1,1,7,2,1,111
1,0,7,5,1,111
0,1,9,1,2,111
1,1,12,2,2,111
1,1,12,5,2,120
0,1,11,1,1,111
0,1,9,2,4,111
1,1,10,2,2,111
1,1,7,5,1,111
1,1,5,3,1,112
0,1,8,3,2,111
1,1,13,1,2,111
0,0,11,2,3,120
1,0,7,5,1,111
0,0,8,3,2,120
1,1,7,2,2,111
0,0,11,5,2,111
1,1,5,1,1,111
1,0,10,5,2,111
1,1,8,2,2,111
1,1,4,2,1,111
1,1,12,2,2,111
0,1,10,2,2,111
0,1,5,5,1,111
0,0,7,5,2,111
0,0,11,3,2,120
1,1,5,3,1,112
1,1,11,2,2,111
0,0,10,5,2,111
1,1,6,3,2,111
0,1,12,3,2,120
0,1,8,3,1,111
1,1,8,3,2,111
1,0,7,5,2,111
0,0,6,3,2,111
1,0,10,5,1,111
1,1,4,2,1,112
1,1,7,3,2,111
1,1,5,3,1,111
1,1,9,3,2,111
1,1,10,3,2,111
1,1,9,3,2,111
0,0,9,3,4,111
0,1,8,2,2,111
0,1,10,1,2,120
0,0,9,5,2,111
1,1,4,2,1,112
1,1,9,2,2,111
1,1,7,3,4,111
0,0,8,5,1,111
1,0,5,5,1,111
1,1,8,2,2,111
1,1,9,3,2,111
0,0,9,3,2,111
1,1,11,5,4,111
0,0,13,3,2,120
0,1,8,1,2,111
0,0,10,5,2,111
0,1,10,5,1,111
1,1,6,5,2,111
0,0,10,3,2,120
1,1,8,2,4,111
1,1,8,3,2,111
0,1,5,1,1,111
0,0,8,5,2,120
1,1,7,5,2,111
1,1,9,1,4,111
1,0,11,5,2,111
1,1,12,2,2,111
1,0,8,3,2,111
0,0,7,3,2,111
1,0,8,5,2,111
0,1,10,3,2,120
0,0,11,3,2,111
0,0,8,2,2,120
1,1,13,1,2,120
0,0,9,5,2,111
1,1,10,3,2,111
0,0,8,4,2,111
0,1,7,2,1,111
0,0,9,3,2,111
0,0,11,3,2,120
1,1,7,3,2,111
0,1,12,5,2,111
1,1,9,3,2,111
1,1,6,3,1,111
0,0,11,2,2,111
0,1,8,2,2,111
0,1,10,5,2,111
1,1,7,3,2,111
1,1,8,3,2,111
0,0,8,5,2,111
0,0,10,3,2,111
1,1,5,3,1,111
0,0,10,5,2,111
1,1,7,3,1,111
1,1,9,1,2,111
0,0,11,4,2,111
0,1,9,3,2,111
1,1,10,3,2,111
0,1,5,3,1,111
1,1,5,3,1,111
1,1,10,5,2,111
0,0,11,5,2,111
1,0,6,5,1,111
1,0,6,5,2,111
1,1,7,3,1,111
0,1,10,5,2,111
0,0,9,5,2,111
0,0,9,5,1,111
0,0,8,5,2,111
1,0,8,5,2,111
1,1,7,2,4,111
0,1,4,1,1,112
0,1,7,3,2,111
1,0,10,3,2,111
1,0,10,5,2,111
0,0,7,3,1,111
0,0,10,3,2,111
1,1,9,3,2,111
0,0,6,3,2,111
1,1,11,2,4,111
0,0,7,3,1,111
0,0,7,3,2,111
1,0,9,5,2,111
0,0,10,5,2,111
0,0,7,5,1,111
